duration,duration_seconds,start_time,start_station,start_terminal,end_time,end_station,end_terminal,bike_number,rider_type,id
0h 7m 24sec.,444.0,2012-01-01 00:54:00,Potomac & Pennsylvania Ave SE,31606.0,2012-01-01 01:01:00,13th & D St NE,31622.0,W01108,Registered,38
0h 3m 18sec.,198.0,2012-01-01 00:55:00,L'Enfant Plaza / 7th & C St SW,31218.0,2012-01-01 00:58:00,4th & E St SW,31244.0,W00326,Casual,39
0h 2m 59sec.,179.0,2012-01-01 00:55:00,L'Enfant Plaza / 7th & C St SW,31218.0,2012-01-01 00:58:00,4th & E St SW,31244.0,W01111,Registered,40
0h 6m 18sec.,378.0,2012-01-01 00:55:00,20th & Crystal Dr,31002.0,2012-01-01 01:02:00,20th & Crystal Dr,31002.0,W00333,Casual,41
0h 5m 5sec.,305.0,2012-01-01 00:56:00,20th & Crystal Dr,31002.0,2012-01-01 01:01:00,20th & Crystal Dr,31002.0,W01257,Casual,42
0h 13m 37sec.,817.0,2012-01-01 00:57:00,10th & U St NW,31111.0,2012-01-01 01:11:00,21st & M St NW,31212.0,W00913,Registered,43
0h 1m 47sec.,107.0,2012-01-01 00:57:00,5th St & K St NW,31600.0,2012-01-01 00:59:00,4th St & Massachusetts Ave NW,31604.0,W00713,Registered,44
0h 8m 14sec.,494.0,2012-01-01 00:58:00,Adams Mill & Columbia Rd NW,31104.0,2012-01-01 01:06:00,17th & Corcoran St NW,31214.0,W00954,Registered,45
0h 20m 6sec.,1206.0,2012-01-01 00:58:00,17th & Corcoran St NW,31214.0,2012-01-01 01:18:00,4th & M St SW,31108.0,W00174,Registered,46
0h 14m 5sec.,845.0,2012-01-01 00:59:00,California St & Florida Ave NW,31116.0,2012-01-01 01:13:00,7th & T St NW,31109.0,W00147,Registered,47
0h 6m 50sec.,410.0,2012-01-01 00:59:00,14th & V St NW,31101.0,2012-01-01 01:06:00,Columbia Rd & Belmont St NW,31113.0,W01130,Registered,48
0h 1m 54sec.,114.0,2012-01-01 01:02:00,Park Rd & Holmead Pl NW,31602.0,2012-01-01 01:04:00,11th & Kenyon St NW,31102.0,W00375,Registered,49
0h 18m 44sec.,1124.0,2012-01-01 01:04:00,4th St & Massachusetts Ave NW,31604.0,2012-01-01 01:23:00,15th St & Massachusetts Ave SE,31626.0,W01213,Registered,50
0h 16m 53sec.,1013.0,2012-01-01 01:05:00,13th & H St NE,31611.0,2012-01-01 01:22:00,10th & U St NW,31111.0,W00933,Registered,51
0h 6m 0sec.,360.0,2012-01-01 01:08:00,Columbus Circle / Union Station,31623.0,2012-01-01 01:14:00,11th & H St NE,31614.0,W00021,Registered,52
0h 2m 40sec.,160.0,2012-01-01 01:08:00,18th & Bell St,31007.0,2012-01-01 01:11:00,23rd & Eads,31013.0,W00704,Registered,53
0h 9m 2sec.,542.0,2012-01-01 01:09:00,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613.0,2012-01-01 01:18:00,Bladensburg Rd & Benning Rd NE,31617.0,W00785,Registered,54
0h 25m 12sec.,1512.0,2012-01-01 01:09:00,Van Ness Metro / UDC,31300.0,2012-01-01 01:34:00,Thomas Circle,31241.0,W00186,Registered,55
0h 7m 28sec.,448.0,2012-01-01 01:11:00,14th & Rhode Island Ave NW,31203.0,2012-01-01 01:18:00,Convention Center / 7th & M St NW,31223.0,W00851,Registered,56
0h 11m 3sec.,663.0,2012-01-01 01:12:00,7th & T St NW,31109.0,2012-01-01 01:23:00,1st & M St NE,31603.0,W01195,Registered,57
0h 4m 27sec.,267.0,2012-01-01 01:12:00,15th & P St NW,31201.0,2012-01-01 01:17:00,14th & V St NW,31101.0,W00602,Registered,58
0h 7m 37sec.,457.0,2012-01-01 01:12:00,Connecticut Ave & Newark St NW / Cleveland Park,31305.0,2012-01-01 01:20:00,20th St & Florida Ave NW,31110.0,W00456,Registered,59
0h 15m 52sec.,952.0,2012-01-01 01:13:00,1st & M St NE,31603.0,2012-01-01 01:29:00,8th & H St NW,31228.0,W01084,Casual,60
0h 20m 12sec.,1212.0,2012-01-01 01:14:00,15th & P St NW,31201.0,2012-01-01 01:34:00,7th & Water St SW / SW Waterfront,31609.0,W00340,Casual,61
